id,query,hits,time,user_id,ip
978,summerhouse,5,2021-11-02 1:58:13,0,
979,chicago,127,2021-11-02 1:58:23,0,
980,chicago,127,2021-11-02 1:58:26,0,
981,chicago,127,2021-11-02 2:02:18,0,
982,ownership,1,2021-11-02 2:10:39,0,
983,thanksgiving,22,2021-11-02 2:20:20,0,
984,thanksgiving,22,2021-11-02 2:25:43,0,
985,happy hour,47,2021-11-02 2:36:31,0,
986,evanston,2,2021-11-02 2:58:25,0,
987,happy hour,47,2021-11-02 3:04:32,0,
988,french,26,2021-11-02 3:42:31,0,
989,french chicago,133,2021-11-02 3:42:54,0,
990,french,26,2021-11-02 3:43:14,0,
991,/index/thinkapp/invokefunction,1,2021-11-02 4:14:10,0,
992,chicago,127,2021-11-02 4:21:26,0,
993,maggianos,2,2021-11-02 6:04:10,0,
994,covid 19,4,2021-11-02 7:04:39,0,
995,covid 19,4,2021-11-02 7:06:49,0,
996,covid 19,4,2021-11-02 7:07:29,0,
997,covid 19,4,2021-11-02 7:07:30,0,
998,ventilation,0,2021-11-02 7:07:43,0,
999,/index/thinkapp/invokefunction,1,2021-11-02 9:36:34,0,
1000,chicago,127,2021-11-02 12:24:04,0,
1001,brunch,27,2021-11-02 13:23:36,0,
1002,gluten free,38,2021-11-02 13:29:25,0,
1003,sushi,22,2021-11-02 13:55:42,0,
1004,il porcellini,0,2021-11-02 14:13:13,0,
1005,il porcellino,16,2021-11-02 14:13:31,0,
1006,il porcellini,0,2021-11-02 14:15:15,0,
1007,il porcellino,16,2021-11-02 14:15:27,0,
1008,thanksgiving,22,2021-11-02 14:20:08,0,
1009,chicago,127,2021-11-02 14:22:05,0,
1010,rewards balance,9,2021-11-02 14:27:24,0,
1011,seafood,61,2021-11-02 14:44:31,0,
1012,seafood,61,2021-11-02 14:44:33,0,
1013,pub,7,2021-11-02 15:18:13,0,
1014,beatrix,42,2021-11-02 15:38:04,0,
1015,pizza,22,2021-11-02 15:44:02,0,
1016,3 dots and a dash,22,2021-11-02 15:50:34,0,
1017,3 dots and a dash,22,2021-11-02 15:50:35,0,
1018,log-in,2,2021-11-02 15:53:20,0,
1019,logo-in,1,2021-11-02 15:53:23,0,
1020,chicago,129,2021-11-02 16:11:19,4,
1021,pizza,22,2021-11-02 16:11:21,0,
1022,chicago,129,2021-11-02 16:11:22,4,
1023,chicago,129,2021-11-02 16:11:25,4,
1024,georgia,0,2021-11-02 16:12:00,0,
1025,pizza,22,2021-11-02 16:12:00,4,
1026,georgia,0,2021-11-02 16:12:01,0,
1027,georgia,0,2021-11-02 16:12:02,0,
1028,pizza,22,2021-11-02 16:12:54,0,
1029,pizza,22,2021-11-02 16:14:18,0,
1030,missing points,13,2021-11-02 16:16:01,0,
1031,padma's,2,2021-11-02 16:17:57,0,
1032,padmas,0,2021-11-02 16:18:00,0,
1033,pescatora,0,2021-11-02 16:18:12,0,
1034,/index/thinkapp/invokefunction,1,2021-11-02 16:53:12,0,
1035,quality crab and oyster bah,79,2021-11-02 17:02:11,0,
1036,34208,0,2021-11-02 17:03:49,0,
1037,tampa fl,0,2021-11-02 17:04:07,0,
1038,florada,0,2021-11-02 17:04:23,0,
1039,mediterranean,21,2021-11-02 17:05:01,0,
1040,brazilian,0,2021-11-02 17:05:20,0,
1041,brazillian,0,2021-11-02 17:05:26,0,
1042,brazillian,0,2021-11-02 17:05:27,0,
1043,brazillian,0,2021-11-02 17:05:40,0,
1044,l woods,21,2021-11-02 17:21:14,0,
1045,l woods,21,2021-11-02 17:21:41,0,
1046,thanksgiving dinner,79,2021-11-02 17:22:58,0,
1047,thanksgiving dinner dipescara,82,2021-11-02 17:23:52,0,
1048,shaws,7,2021-11-02 17:28:16,0,
1049,gluten free,38,2021-11-02 17:35:25,5,
1050,brunch,27,2021-11-02 17:36:21,0,
1051,brunch chicago,137,2021-11-02 17:36:38,0,
1052,san diego,26,2021-11-02 17:39:13,0,
1053,location,59,2021-11-02 17:39:28,0,
1054,san diego,26,2021-11-02 17:39:38,0,
1055,san diego,26,2021-11-02 17:40:08,0,
1056,brazilian,0,2021-11-02 17:48:29,0,
1057,mediterranean,21,2021-11-02 17:48:31,0,
1058,asian,4,2021-11-02 18:07:23,0,
1059,asian,4,2021-11-02 18:08:05,0,
1060,60661,0,2021-11-02 18:08:22,0,
1061,chicago,129,2021-11-02 18:23:15,0,
1062,crab,63,2021-11-02 18:28:59,0,
1063,restaurants indianapolis,77,2021-11-02 18:46:04,0,
1064,restaurants indianapolis,77,2021-11-02 18:46:07,0,
1065,restaurants indianapolis,77,2021-11-02 18:46:09,0,
1066,restaurants indianapolis,77,2021-11-02 18:47:56,0,
1067,60657,0,2021-11-02 18:48:37,0,
1068,michigan,4,2021-11-02 19:15:40,0,
1069,rpm,46,2021-11-02 19:18:42,0,
1070,pizza,22,2021-11-02 19:53:47,1,
1071,restaurants indianapolis,77,2021-11-02 19:54:30,0,
1072,wisconsin,7,2021-11-02 20:21:14,0,
1073,wisconsin,7,2021-11-02 20:21:31,0,
1074,maggianos,2,2021-11-02 20:22:53,0,
1075,hummus,17,2021-11-02 20:33:32,0,
1076,jobs,0,2021-11-02 20:33:51,0,
1077,arizona,2,2021-11-02 20:38:58,0,
1078,arizona,2,2021-11-02 20:40:44,0,
1079,mon ami gabi,37,2021-11-02 20:43:56,0,
1080,pizza,22,2021-11-02 21:00:58,1,
1081,lettuce,103,2021-11-02 21:03:26,0,
1082,lettuce,103,2021-11-02 21:03:36,0,
1083,lettuce,103,2021-11-02 21:03:39,0,
1084,lettuce,103,2021-11-02 21:03:42,0,
1085,lettuce,103,2021-11-02 21:03:46,0,
1086,lettuce,103,2021-11-02 21:03:49,0,
1087,italian,53,2021-11-02 21:20:25,0,
1088,italian,53,2021-11-02 21:23:38,0,
1089,steak,52,2021-11-02 21:25:01,0,
1090,steak,52,2021-11-02 21:26:45,0,
1091,steak,52,2021-11-02 21:29:19,0,
1092,thanksgiving meal,57,2021-11-02 21:40:22,0,
1093,thanksgiving meal,57,2021-11-02 21:41:06,0,
1094,ruth chris,1,2021-11-02 21:45:45,0,
1095,ruth chris,1,2021-11-02 21:45:55,0,
1096,ruth’s chris,1,2021-11-02 21:46:43,0,
1097,sushi,22,2021-11-02 21:48:04,1,
1098,asian,4,2021-11-02 22:10:36,0,
1099,60641,0,2021-11-02 22:10:48,0,
1100,stk,0,2021-11-02 22:16:18,0,
1101,ruth chris,1,2021-11-02 22:25:14,0,
1102,breakfast,18,2021-11-02 22:27:02,0,
1103,ema,24,2021-11-02 22:41:58,0,
1104,san diego,26,2021-11-02 22:51:53,0,
1105,shaws,7,2021-11-02 23:25:11,0,
1106,"eau claire, wi",3,2021-11-02 23:27:18,0,
1107,60641,0,2021-11-02 23:28:29,0,
1108,bonefish,0,2021-11-02 23:37:46,0,
1109,italian,53,2021-11-02 23:48:05,0,
1110,pizza,22,2021-11-03 0:01:52,0,
1111,mon ami,37,2021-11-03 0:23:20,0,
1112,latin,2,2021-11-03 0:28:06,0,
1113,brazilliam,0,2021-11-03 0:28:25,0,
1114,brazillian,0,2021-11-03 0:28:28,0,
1115,brazillian,0,2021-11-03 0:31:25,0,
1116,brazillian,0,2021-11-03 0:32:16,0,
1117,brazillian,0,2021-11-03 0:32:52,0,
1118,brazillian,0,2021-11-03 0:34:09,0,
1119,brazillian,0,2021-11-03 0:35:57,0,
1120,brazillian,0,2021-11-03 0:37:12,0,
1121,asian food,73,2021-11-03 0:41:07,0,
1122,asian food,73,2021-11-03 0:42:01,0,
1123,seafood,61,2021-11-03 0:44:36,0,
1124,anticoposto,3,2021-11-03 0:46:26,0,
1125,true food kitchen,116,2021-11-03 0:50:07,0,
1126,true food kitchen,116,2021-11-03 0:50:09,0,
1127,true food kitchen,116,2021-11-03 0:50:12,0,
1128,maggianos,2,2021-11-03 0:55:14,0,
1129,sushi,22,2021-11-03 1:16:07,0,
1130,thanksgiving,23,2021-11-03 1:50:01,0,
1131,steak,52,2021-11-03 1:59:04,0,
1132,donation,0,2021-11-03 2:10:22,0,
1133,yardhouse,0,2021-11-03 3:16:35,0,
1134,thanksgiving dinner dipescara,82,2021-11-03 3:59:04,0,
1135,thanksgiving dinner dipescara,82,2021-11-03 3:59:49,0,
1136,lettuce,103,2021-11-03 4:53:43,0,
1137,l woods,21,2021-11-03 5:10:00,0,
1138,thanksgiving las vegas,60,2021-11-03 5:17:42,0,
1139,las vegas,44,2021-11-03 5:38:04,0,
1140,las vegas,44,2021-11-03 5:39:22,0,
1141,las vegas,44,2021-11-03 5:41:52,0,
1142,/index/thinkapp/invokefunction,1,2021-11-03 9:20:41,0,
1143,brussels,5,2021-11-03 11:30:07,0,
1144,/index/thinkapp/invokefunction,1,2021-11-03 12:35:04,0,
1145,brunch,27,2021-11-03 13:26:26,0,
1146,ramen,14,2021-11-03 13:43:41,0,
1147,denver,0,2021-11-03 13:44:33,0,
1148,bonefish,0,2021-11-03 13:51:08,0,
1149,thanksgiving dinner dipescara,82,2021-11-03 14:14:50,0,
1150,shaws,7,2021-11-03 15:03:09,0,
1151,shaws,7,2021-11-03 15:03:11,0,
1152,l woods,21,2021-11-03 15:47:52,0,
1153,depascara,0,2021-11-03 15:51:47,0,
1154,partner bio,26,2021-11-03 16:19:27,0,
1155,gift card balance,32,2021-11-03 16:25:04,0,
1156,hub 51,23,2021-11-03 16:27:35,0,
1157,l. woods,22,2021-11-03 16:51:37,0,
1158,l. woods,22,2021-11-03 16:55:40,0,
1159,hub 51,23,2021-11-03 16:58:04,0,
1160,hub 51,23,2021-11-03 16:58:12,0,
1161,japanese,14,2021-11-03 17:09:34,0,
1162,japanese,14,2021-11-03 17:12:21,0,
1163,cafe sushi,42,2021-11-03 17:13:35,0,
1164,japanese,14,2021-11-03 17:14:36,0,
1165,crab,63,2021-11-03 17:53:23,0,
1166,oysters,12,2021-11-03 17:59:06,0,
1167,becoming a pastry cheg,15,2021-11-03 18:04:18,6,
1168,becoming a pastry chef,92,2021-11-03 18:04:23,6,
1169,acorn squash,11,2021-11-03 18:10:18,1,
1170,eiffle,0,2021-11-03 18:19:03,0,
1171,mediterranean,21,2021-11-03 18:22:33,0,
1172,eiffle,0,2021-11-03 18:25:21,0,
1173,eiffle,0,2021-11-03 18:27:10,0,
1174,summer house,87,2021-11-03 18:30:47,0,
1175,eiffle,0,2021-11-03 18:32:04,0,
1176,eiffle,0,2021-11-03 18:40:40,0,
1177,eiffel,14,2021-11-03 18:42:05,0,
1178,eiffel,14,2021-11-03 18:44:25,0,
1179,italian,53,2021-11-03 18:53:17,0,
1180,chicago,135,2021-11-03 18:54:39,0,
1181,buca,5,2021-11-03 19:06:38,0,
1182,restaurants,80,2021-11-03 19:22:52,0,
1183,oysta,0,2021-11-03 19:23:34,0,
1184,red lobster,51,2021-11-03 19:42:35,0,
1185,cheese cake,61,2021-11-03 19:47:33,0,
1186,60616,0,2021-11-03 20:13:35,0,
1187,cheese cake,61,2021-11-03 20:21:47,0,
1188,gift card balances,27,2021-11-03 20:26:15,0,
1189,gify card balance,26,2021-11-03 20:28:49,0,
1190,6145761909340535,0,2021-11-03 20:29:58,0,
1191,gify card balance,26,2021-11-03 20:33:58,0,
1192,60607,0,2021-11-03 21:30:28,0,
1193,60607,0,2021-11-03 21:30:29,0,
1194,60608,0,2021-11-03 21:30:46,0,
1195,60607,0,2021-11-03 21:32:33,0,
1196,chicago,135,2021-11-03 21:53:07,0,
1197,chicago,135,2021-11-03 21:59:41,0,
1198,il porcellino,17,2021-11-03 22:21:06,0,
1199,rpm,46,2021-11-03 22:44:16,0,
1200,black friday,69,2021-11-03 22:51:32,6,
1201,locations,30,2021-11-03 22:52:41,0,
1202,locations,30,2021-11-03 22:52:46,0,
1203,patios,8,2021-11-03 22:56:40,6,
1204,brunch dc,28,2021-11-03 22:57:00,6,
1205,brunch dc,28,2021-11-03 22:57:03,6,
1206,pizza,22,2021-11-03 22:58:41,0,
1207,pizza,22,2021-11-03 22:58:50,0,
1208,pizza,22,2021-11-03 22:59:37,0,
1209,rpm,46,2021-11-03 23:18:14,0,
1210,vegan,8,2021-11-03 23:23:41,0,
1211,vegan,8,2021-11-03 23:25:02,0,
1212,arizona,2,2021-11-03 23:30:14,0,
1213,breakfast,19,2021-11-03 23:31:19,0,
1214,feed,5,2021-11-03 23:36:14,0,
1215,virtual class,10,2021-11-03 23:48:39,0,
1216,french,27,2021-11-03 23:49:25,0,
1217,seafood,61,2021-11-04 0:40:05,0,
1218,maggions,0,2021-11-04 1:18:14,0,
1219,maggions,0,2021-11-04 1:23:09,0,
1220,las vegas,44,2021-11-04 1:30:45,0,
1221,seafood,61,2021-11-04 1:47:38,0,
1222,oak brook,46,2021-11-04 2:16:06,0,
1223,greek,12,2021-11-04 3:25:32,0,
1224,tacos,10,2021-11-04 3:42:53,0,
1225,fine dinning,12,2021-11-04 4:56:37,0,
1226,chili’s,12,2021-11-04 5:05:30,0,
1227,san diego,26,2021-11-04 5:05:40,0,
1228,san diego,26,2021-11-04 5:05:41,0,
1229,san diego,26,2021-11-04 5:06:09,0,
1230,/index/thinkapp/invokefunction,1,2021-11-04 5:38:30,0,
1231,/index/thinkapp/invokefunction,1,2021-11-04 6:41:04,0,
1232,pizza,22,2021-11-04 11:44:22,1,
1233,naples florida,7,2021-11-04 13:03:43,0,
1234,naples florida,7,2021-11-04 13:05:07,0,
1235,italian,53,2021-11-04 13:36:52,0,
1236,italian,53,2021-11-04 13:36:58,0,
1237,wildfire,54,2021-11-04 13:43:27,0,
1238,wildfire,54,2021-11-04 13:43:29,0,
1239,thanksgiving dinner dipescara,83,2021-11-04 13:49:59,0,
1240,indian,2,2021-11-04 14:06:23,0,
1241,sushi,22,2021-11-04 14:26:01,0,
1242,60523,0,2021-11-04 14:59:10,0,
1243,big bowl,73,2021-11-04 15:02:12,0,
1244,big bowl,73,2021-11-04 15:02:15,0,
1245,big bowl,73,2021-11-04 15:02:50,0,
1246,community canteen,3,2021-11-04 15:03:03,0,
1247,chicago,135,2021-11-04 15:07:57,0,
1248,chicago,135,2021-11-04 15:08:00,0,
1249,chicago,135,2021-11-04 15:08:03,0,
1250,chicago,135,2021-11-04 15:08:06,0,
1251,chicago,135,2021-11-04 15:08:08,0,
1252,summerhouse,6,2021-11-04 15:39:47,0,
1253,summerhouse,6,2021-11-04 15:40:27,0,
1254,thanksgiving dinner dipescara,83,2021-11-04 16:04:09,0,
1255,thanksgiving dinner dipescara,83,2021-11-04 16:05:15,0,
1256,thanksgiving dinner dipescara,83,2021-11-04 16:07:22,0,
1257,thanksgiving dinner dipescara,83,2021-11-04 16:13:49,0,
1258,steak,52,2021-11-04 16:33:14,0,
1259,pizza,22,2021-11-04 16:43:41,0,
1260,bolingbrook,0,2021-11-04 17:23:49,0,
1261,maggiano's,3,2021-11-04 17:46:14,0,
1262,60615,0,2021-11-04 17:48:37,0,
1263,shaws,7,2021-11-04 17:50:13,0,
1264,shaws,7,2021-11-04 17:50:13,0,
1265,briskett,0,2021-11-04 17:59:20,0,
1266,sushi,22,2021-11-04 18:11:14,0,
1267,cooking classes,30,2021-11-04 18:19:16,0,
1268,petterinos,0,2021-11-04 18:33:25,0,
1269,covid,4,2021-11-04 19:38:53,0,
1270,beatrix oak brook,58,2021-11-04 19:42:09,0,
1271,italin,0,2021-11-04 19:56:22,0,
1272,italain,0,2021-11-04 19:56:39,0,
1273,pasta,68,2021-11-04 19:56:51,0,
1274,chicago,135,2021-11-04 19:57:45,0,
1275,rewards,1,2021-11-04 20:02:31,0,
1276,tuesday specials,30,2021-11-04 20:18:04,0,
1277,steak,53,2021-11-04 20:25:10,0,
1278,steak,53,2021-11-04 20:26:12,0,
1279,italian,54,2021-11-04 20:57:15,0,
1280,summer,58,2021-11-04 21:06:38,0,
1281,edina,5,2021-11-04 21:10:10,0,
1282,minnesota,20,2021-11-04 21:10:42,0,
1283,minnesota,20,2021-11-04 21:11:12,0,
1284,minneapolis,3,2021-11-04 21:11:19,0,
1285,wildfire,55,2021-11-04 21:36:12,0,
1286,chicago,135,2021-11-04 21:36:46,0,
1287,chicago,135,2021-11-04 21:40:12,0,
1288,mom ami gabi,38,2021-11-04 22:11:12,0,
1289,maggiano's,3,2021-11-04 22:27:12,0,
1290,maggiano's,3,2021-11-04 22:52:09,0,
1291,wildfire,55,2021-11-04 22:52:19,0,
1292,ema,26,2021-11-04 23:23:07,0,
1293,chicago,135,2021-11-04 23:38:55,0,
1294,chicago,135,2021-11-04 23:38:59,0,
1295,chicago,135,2021-11-04 23:39:02,0,
1296,seafood,62,2021-11-04 23:39:42,0,
1297,seafood,62,2021-11-04 23:39:44,0,
1298,seafood,62,2021-11-04 23:39:47,0,
1299,wildfire,55,2021-11-04 23:44:38,0,
1300,minnesota,20,2021-11-05 0:26:19,0,
1301,wildfire,55,2021-11-05 0:41:31,0,
1302,italian,54,2021-11-05 0:59:42,0,
1303,fridays,2,2021-11-05 1:00:46,0,
1304,fridays,2,2021-11-05 1:00:48,0,
1305,fridays,2,2021-11-05 1:00:50,0,
1306,fridays,2,2021-11-05 1:00:50,0,
1307,italian,54,2021-11-05 1:05:08,0,
1308,tokio,7,2021-11-05 2:40:33,0,
1309,los angeles,12,2021-11-05 2:49:54,0,
1310,los angeles,12,2021-11-05 2:52:29,0,
1311,rjgruntz,0,2021-11-05 3:02:05,0,
1312,rj,0,2021-11-05 3:02:52,0,
1313,rjgruntz,0,2021-11-05 3:03:57,0,
1314,sushi,22,2021-11-05 3:06:27,0,
1315,mastros steakhouse,4,2021-11-05 3:16:36,0,
1316,/index/thinkapp/invokefunction,1,2021-11-05 5:04:31,0,
1317,buffet,1,2021-11-05 6:11:18,0,
1318,buffet,1,2021-11-05 6:11:32,0,
1319,all you can eat,18,2021-11-05 6:11:43,0,
1320,/index/thinkapp/invokefunction,1,2021-11-05 8:53:36,0,
1321,sea food,80,2021-11-05 12:21:43,0,
1322,sea food,80,2021-11-05 12:21:46,0,
1323,sea food,80,2021-11-05 12:21:49,0,
1324,sea food,80,2021-11-05 12:21:49,0,
1325,cupcakes,0,2021-11-05 12:26:19,0,
1326,cupcakes,0,2021-11-05 12:27:24,0,
1327,delivery,97,2021-11-05 13:48:51,0,
1328,host,17,2021-11-05 14:48:14,0,
1329,host,17,2021-11-05 14:48:24,0,
1330,chicken and wild rice soup,89,2021-11-05 15:37:24,0,
1331,shaws crab,65,2021-11-05 15:51:30,0,
1332,crab,64,2021-11-05 15:53:06,0,
1333,locations,30,2021-11-05 15:58:30,0,
1334,cafe ba,29,2021-11-05 16:23:04,0,
1335,cafe ba,29,2021-11-05 16:23:28,0,
1336,60015,0,2021-11-05 16:41:24,0,
1337,60061,0,2021-11-05 16:46:51,0,
1338,60061,0,2021-11-05 16:51:11,0,
1339,locations,30,2021-11-05 16:54:19,0,
1340,wildfire,55,2021-11-05 16:54:25,0,
1341,60061,0,2021-11-05 17:15:05,0,
1342,french,27,2021-11-05 17:24:03,0,
1343,joe’s,46,2021-11-05 17:46:47,0,
1344,joe’s seafood,69,2021-11-05 17:47:05,0,
1345,joe’s seafood,69,2021-11-05 17:47:47,0,
1346,the dearborn,0,2021-11-05 17:50:55,0,
1347,thanksgiving,24,2021-11-05 18:15:06,0,
1348,thanksgiving,24,2021-11-05 18:15:23,0,
1349,yes,3,2021-11-05 18:24:26,0,
1350,wildfire,55,2021-11-05 18:31:57,0,
1351,locations in illinois,52,2021-11-05 18:35:46,0,
1352,quality crab,80,2021-11-05 18:50:06,0,
1353,indian,2,2021-11-05 19:04:18,0,
1354,"mychael bonner,",11,2021-11-05 19:24:55,6,
1355,mychael bonner,11,2021-11-05 19:25:03,6,
1356,diner club,24,2021-11-05 19:27:53,0,
1357,indian,2,2021-11-05 19:44:19,0,
1358,pasta,68,2021-11-05 20:02:23,0,
1359,maggiano's,3,2021-11-05 20:06:55,0,
1360,petterinos,0,2021-11-05 20:16:48,0,
1361,petterino,1,2021-11-05 20:16:55,0,
1362,/index/thinkapp/invokefunction,1,2021-11-05 21:45:01,0,
1363,longhorn,0,2021-11-05 22:12:25,0,
1364,mexican,11,2021-11-05 22:33:02,0,
1365,austin,35,2021-11-05 22:37:28,0,
1366,austin,35,2021-11-05 22:37:56,0,
1367,seafood,62,2021-11-05 22:49:01,0,
1368,seafood,62,2021-11-05 22:52:19,0,
1369,m burger,27,2021-11-05 22:59:55,0,
1370,m burger,27,2021-11-05 22:59:57,0,
1371,breakfast,19,2021-11-05 23:01:26,0,
1372,60025,0,2021-11-05 23:01:59,0,
1373,60025,0,2021-11-05 23:02:51,0,
1374,shakou,0,2021-11-05 23:20:16,0,
1375,arlington heights,1,2021-11-05 23:20:29,0,
1376,schaumberg,0,2021-11-05 23:20:41,0,
1377,pizza,22,2021-11-05 23:36:51,0,
1378,balance,9,2021-11-06 0:08:20,0,
1379,thanksgiving dinner dipescara,84,2021-11-06 0:50:37,0,
1380,thanksgiving dinner dipescara,84,2021-11-06 0:56:52,0,
1381,italian,54,2021-11-06 1:48:51,0,
1382,rosebud,0,2021-11-06 1:49:29,0,
1383,ramen,14,2021-11-06 1:58:49,0,
1384,italian,54,2021-11-06 2:15:37,0,
1385,prime and provisions,50,2021-11-06 2:56:17,0,
1386,pizza,22,2021-11-06 6:34:03,0,
1387,california,32,2021-11-06 12:09:01,0,
1388,breakfast,19,2021-11-06 14:03:16,0,
1389,brunch,28,2021-11-06 14:03:43,0,
1390,frequently asked questions,13,2021-11-06 14:04:11,0,
1391,crab,64,2021-11-06 14:38:53,0,
1392,crab,64,2021-11-06 14:38:55,0,
1393,el woods,22,2021-11-06 14:43:45,0,
1394,points,12,2021-11-06 14:53:58,0,
1395,chicago il,135,2021-11-06 14:55:08,0,
1396,steak,53,2021-11-06 15:45:34,0,
1397,steak,53,2021-11-06 15:45:36,0,
1398,las vegas,44,2021-11-06 15:48:00,0,
1399,bub city,44,2021-11-06 16:01:44,0,
1400,schamumburg,0,2021-11-06 16:05:38,0,
1401,rosebud,0,2021-11-06 16:07:45,0,
1402,steak,53,2021-11-06 16:08:01,0,
1403,schamumburg,0,2021-11-06 16:08:09,0,
1404,schamumburg,0,2021-11-06 16:08:29,0,
1405,thanksgiving,24,2021-11-06 16:09:31,0,
1406,chicago down town,137,2021-11-06 16:34:28,0,
1407,chicago down town chicago,137,2021-11-06 16:35:06,0,
1408,chicago down town chicago,137,2021-11-06 16:37:59,0,
1409,pizza,22,2021-11-06 16:42:53,0,
1410,las vegas,44,2021-11-06 16:49:30,0,
1411,italian,54,2021-11-06 17:19:25,0,
1412,"schaumburg, i’ll",25,2021-11-06 17:32:30,0,
1413,sushi,22,2021-11-06 17:34:03,0,
1414,pizza,22,2021-11-06 17:34:49,0,
1415,las vegas,44,2021-11-06 19:30:58,0,
1416,22066,0,2021-11-06 19:47:13,0,
1417,shaws,7,2021-11-06 19:49:38,0,
1418,petterinos,0,2021-11-06 19:54:34,0,
1419,bar,69,2021-11-06 20:05:55,0,
1420,/index/thinkapp/invokefunction,1,2021-11-06 20:06:18,0,
1421,bar,69,2021-11-06 20:06:42,0,
1422,logan square,14,2021-11-06 20:06:59,0,
1423,italian,54,2021-11-06 20:13:31,0,
1424,wildfire,55,2021-11-06 20:20:49,0,
1425,wildfire,55,2021-11-06 20:20:51,0,
1426,wildfire,55,2021-11-06 20:20:54,0,
1427,pasta,68,2021-11-06 20:28:23,0,
1428,60630,0,2021-11-06 20:48:49,0,
1429,asian,4,2021-11-06 20:49:44,0,
1430,asian,4,2021-11-06 20:52:28,0,
1431,contacts,0,2021-11-06 21:00:22,0,
1432,birthday points,18,2021-11-06 21:00:48,0,
1433,indian,2,2021-11-06 21:14:04,0,
1434,indian restaurant,103,2021-11-06 21:14:22,0,
1435,near me,33,2021-11-06 21:16:41,0,
1436,60193,0,2021-11-06 21:18:31,0,
1437,wine flights,65,2021-11-06 21:26:05,0,
1438,near me,33,2021-11-06 21:30:28,0,
1439,hibachi,0,2021-11-06 21:38:33,0,
1440,hibachi,0,2021-11-06 21:39:38,0,
1441,mediterranean,21,2021-11-06 21:40:02,0,
1442,hibachi,0,2021-11-06 21:44:22,0,
1443,chinese,7,2021-11-06 21:44:43,0,
1444,chinese,7,2021-11-06 21:45:41,0,
1445,chinese,7,2021-11-06 21:45:43,0,
1446,chinese,7,2021-11-06 21:46:29,0,
1447,chinese,7,2021-11-06 21:46:31,0,
1448,chinese,7,2021-11-06 21:46:33,0,
1449,italian,54,2021-11-06 21:47:54,0,
1450,60025,0,2021-11-06 21:49:13,0,
1451,fogo,0,2021-11-06 22:16:34,0,
1452,fogo,0,2021-11-06 22:16:35,0,
1453,fogo,0,2021-11-06 22:16:37,0,
1454,fogo,0,2021-11-06 22:16:37,0,
1455,60087,0,2021-11-06 22:29:56,0,
1456,60077,0,2021-11-06 23:28:32,0,
1457,60077,0,2021-11-06 23:28:54,0,
1458,seafood,62,2021-11-06 23:29:11,0,
1459,60077,0,2021-11-06 23:29:38,0,
1460,60077,0,2021-11-06 23:29:39,0,
1461,60062,0,2021-11-06 23:33:22,0,
1462,italian,54,2021-11-06 23:36:58,0,
1463,maestro,0,2021-11-06 23:42:53,0,
1464,maestro,0,2021-11-06 23:43:42,0,
